id,precinct,office,candidate,party,votes
4227,Scriba 5,Oswego County Family Court Judge (CON),Allison Nelson,,1
4228,Scriba 5,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4229,Scriba 5,Oswego County Family Court Judge (CON),Write-ins,,0
4230,Scriba 5,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4231,Scriba 6,Oswego County Family Court Judge (CON),,,
4232,Scriba 6,Oswego County Family Court Judge (CON),Ballots,,2
4233,Scriba 6,Oswego County Family Court Judge (CON),Allison Nelson,,0
4234,Scriba 6,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4235,Scriba 6,Oswego County Family Court Judge (CON),Write-ins,,0
4236,Scriba 6,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4237,Volney 1,Oswego County Family Court Judge (CON),,,
4238,Volney 1,Oswego County Family Court Judge (CON),Ballots,,1
4239,Volney 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
4240,Volney 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4241,Volney 1,Oswego County Family Court Judge (CON),Write-ins,,0
4242,Volney 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4243,Volney 2,Oswego County Family Court Judge (CON),,,
4244,Volney 2,Oswego County Family Court Judge (CON),Ballots,,8
4245,Volney 2,Oswego County Family Court Judge (CON),Allison Nelson,,2
4246,Volney 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,6
4247,Volney 2,Oswego County Family Court Judge (CON),Write-ins,,0
4248,Volney 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4249,Volney 3,Oswego County Family Court Judge (CON),,,
4250,Volney 3,Oswego County Family Court Judge (CON),Ballots,,5
4251,Volney 3,Oswego County Family Court Judge (CON),Allison Nelson,,1
4252,Volney 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
4253,Volney 3,Oswego County Family Court Judge (CON),Write-ins,,0
4254,Volney 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4255,Volney 4,Oswego County Family Court Judge (CON),,,
4256,Volney 4,Oswego County Family Court Judge (CON),Ballots,,8
4257,Volney 4,Oswego County Family Court Judge (CON),Allison Nelson,,7
4258,Volney 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4259,Volney 4,Oswego County Family Court Judge (CON),Write-ins,,0
4260,Volney 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4261,Volney 5,Oswego County Family Court Judge (CON),,,
4262,Volney 5,Oswego County Family Court Judge (CON),Ballots,,7
4263,Volney 5,Oswego County Family Court Judge (CON),Allison Nelson,,2
4264,Volney 5,Oswego County Family Court Judge (CON),Thomas Benedetto,,5
4265,Volney 5,Oswego County Family Court Judge (CON),Write-ins,,0
4266,Volney 5,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4267,West Monroe 1,Oswego County Family Court Judge (CON),,,
4268,West Monroe 1,Oswego County Family Court Judge (CON),Ballots,,0
4269,West Monroe 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4270,West Monroe 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4271,West Monroe 1,Oswego County Family Court Judge (CON),Write-ins,,0
4272,West Monroe 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4273,West Monroe 2,Oswego County Family Court Judge (CON),,,
4274,West Monroe 2,Oswego County Family Court Judge (CON),Ballots,,3
4275,West Monroe 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4276,West Monroe 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
4277,West Monroe 2,Oswego County Family Court Judge (CON),Write-ins,,0
4278,West Monroe 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4279,West Monroe 3,Oswego County Family Court Judge (CON),,,
4280,West Monroe 3,Oswego County Family Court Judge (CON),Ballots,,4
4281,West Monroe 3,Oswego County Family Court Judge (CON),Allison Nelson,,2
4282,West Monroe 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4283,West Monroe 3,Oswego County Family Court Judge (CON),Write-ins,,0
4284,West Monroe 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4285,Williamstown 1,Oswego County Family Court Judge (CON),,,
4286,Williamstown 1,Oswego County Family Court Judge (CON),Ballots,,4
4287,Williamstown 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4288,Williamstown 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
4289,Williamstown 1,Oswego County Family Court Judge (CON),Write-ins,,0
4290,Williamstown 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4291,Oswego 1 1,Oswego County Family Court Judge (CON),,,
4292,Oswego 1 1,Oswego County Family Court Judge (CON),Ballots,,2
4293,Oswego 1 1,Oswego County Family Court Judge (CON),Allison Nelson,,2
4294,Oswego 1 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4295,Oswego 1 1,Oswego County Family Court Judge (CON),Write-ins,,0
4296,Oswego 1 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4297,Oswego 1 2,Oswego County Family Court Judge (CON),,,
4298,Oswego 1 2,Oswego County Family Court Judge (CON),Ballots,,1
4299,Oswego 1 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4300,Oswego 1 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4301,Oswego 1 2,Oswego County Family Court Judge (CON),Write-ins,,0
4302,Oswego 1 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4303,Oswego 2 1,Oswego County Family Court Judge (CON),,,
4304,Oswego 2 1,Oswego County Family Court Judge (CON),Ballots,,1
4305,Oswego 2 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
4306,Oswego 2 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4307,Oswego 2 1,Oswego County Family Court Judge (CON),Write-ins,,0
4308,Oswego 2 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4309,Oswego 2 2,Oswego County Family Court Judge (CON),,,
4310,Oswego 2 2,Oswego County Family Court Judge (CON),Ballots,,5
4311,Oswego 2 2,Oswego County Family Court Judge (CON),Allison Nelson,,4
4312,Oswego 2 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4313,Oswego 2 2,Oswego County Family Court Judge (CON),Write-ins,,0
4314,Oswego 2 2,Oswego County Family Court Judge (CON),Voids/Blanks,,1
4315,Oswego 3 1,Oswego County Family Court Judge (CON),,,
4316,Oswego 3 1,Oswego County Family Court Judge (CON),Ballots,,0
4317,Oswego 3 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4318,Oswego 3 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4319,Oswego 3 1,Oswego County Family Court Judge (CON),Write-ins,,0
4320,Oswego 3 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4321,Oswego 3 2,Oswego County Family Court Judge (CON),,,
4322,Oswego 3 2,Oswego County Family Court Judge (CON),Ballots,,1
4323,Oswego 3 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
4324,Oswego 3 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4325,Oswego 3 2,Oswego County Family Court Judge (CON),Write-ins,,0
4326,Oswego 3 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4327,Oswego 4 1,Oswego County Family Court Judge (CON),,,
4328,Oswego 4 1,Oswego County Family Court Judge (CON),Ballots,,2
4329,Oswego 4 1,Oswego County Family Court Judge (CON),Allison Nelson,,2
4330,Oswego 4 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4331,Oswego 4 1,Oswego County Family Court Judge (CON),Write-ins,,0
4332,Oswego 4 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4333,Oswego 4 2,Oswego County Family Court Judge (CON),,,
4334,Oswego 4 2,Oswego County Family Court Judge (CON),Ballots,,2
4335,Oswego 4 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4336,Oswego 4 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4337,Oswego 4 2,Oswego County Family Court Judge (CON),Write-ins,,0
4338,Oswego 4 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4339,Oswego 4 3,Oswego County Family Court Judge (CON),,,
4340,Oswego 4 3,Oswego County Family Court Judge (CON),Ballots,,1
4341,Oswego 4 3,Oswego County Family Court Judge (CON),Allison Nelson,,1
4342,Oswego 4 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4343,Oswego 4 3,Oswego County Family Court Judge (CON),Write-ins,,0
4344,Oswego 4 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4345,Oswego 5 1,Oswego County Family Court Judge (CON),,,
4346,Oswego 5 1,Oswego County Family Court Judge (CON),Ballots,,8
4347,Oswego 5 1,Oswego County Family Court Judge (CON),Allison Nelson,,5
4348,Oswego 5 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4349,Oswego 5 1,Oswego County Family Court Judge (CON),Write-ins,,0
4350,Oswego 5 1,Oswego County Family Court Judge (CON),Voids/Blanks,,1
4351,Oswego 5 2,Oswego County Family Court Judge (CON),,,
4352,Oswego 5 2,Oswego County Family Court Judge (CON),Ballots,,3
4353,Oswego 5 2,Oswego County Family Court Judge (CON),Allison Nelson,,3
4354,Oswego 5 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4355,Oswego 5 2,Oswego County Family Court Judge (CON),Write-ins,,0
4356,Oswego 5 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4357,Oswego 5 3,Oswego County Family Court Judge (CON),,,
4358,Oswego 5 3,Oswego County Family Court Judge (CON),Ballots,,0
4359,Oswego 5 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
4360,Oswego 5 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4361,Oswego 5 3,Oswego County Family Court Judge (CON),Write-ins,,0
4362,Oswego 5 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4363,Oswego 5 4,Oswego County Family Court Judge (CON),,,
4364,Oswego 5 4,Oswego County Family Court Judge (CON),Ballots,,0
4365,Oswego 5 4,Oswego County Family Court Judge (CON),Allison Nelson,,0
4366,Oswego 5 4,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4367,Oswego 5 4,Oswego County Family Court Judge (CON),Write-ins,,0
4368,Oswego 5 4,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4369,Oswego 6 1,Oswego County Family Court Judge (CON),,,
4370,Oswego 6 1,Oswego County Family Court Judge (CON),Ballots,,7
4371,Oswego 6 1,Oswego County Family Court Judge (CON),Allison Nelson,,6
4372,Oswego 6 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4373,Oswego 6 1,Oswego County Family Court Judge (CON),Write-ins,,0
4374,Oswego 6 1,Oswego County Family Court Judge (CON),Voids/Blanks,,1
4375,Oswego 6 2,Oswego County Family Court Judge (CON),,,
4376,Oswego 6 2,Oswego County Family Court Judge (CON),Ballots,,1
4377,Oswego 6 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
4378,Oswego 6 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4379,Oswego 6 2,Oswego County Family Court Judge (CON),Write-ins,,0
4380,Oswego 6 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4381,Oswego 7 1,Oswego County Family Court Judge (CON),,,
4382,Oswego 7 1,Oswego County Family Court Judge (CON),Ballots,,1
4383,Oswego 7 1,Oswego County Family Court Judge (CON),Allison Nelson,,1
4384,Oswego 7 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4385,Oswego 7 1,Oswego County Family Court Judge (CON),Write-ins,,0
4386,Oswego 7 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4387,Oswego 7 2,Oswego County Family Court Judge (CON),,,
4388,Oswego 7 2,Oswego County Family Court Judge (CON),Ballots,,8
4389,Oswego 7 2,Oswego County Family Court Judge (CON),Allison Nelson,,6
4390,Oswego 7 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4391,Oswego 7 2,Oswego County Family Court Judge (CON),Write-ins,,0
4392,Oswego 7 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4393,Oswego 7 3,Oswego County Family Court Judge (CON),,,
4394,Oswego 7 3,Oswego County Family Court Judge (CON),Ballots,,0
4395,Oswego 7 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
4396,Oswego 7 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4397,Oswego 7 3,Oswego County Family Court Judge (CON),Write-ins,,0
4398,Oswego 7 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4399,Fulton 1 1,Oswego County Family Court Judge (CON),,,
4400,Fulton 1 1,Oswego County Family Court Judge (CON),Ballots,,5
4401,Fulton 1 1,Oswego County Family Court Judge (CON),Allison Nelson,,2
4402,Fulton 1 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,3
4403,Fulton 1 1,Oswego County Family Court Judge (CON),Write-ins,,0
4404,Fulton 1 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4405,Fulton 1 2,Oswego County Family Court Judge (CON),,,
4406,Fulton 1 2,Oswego County Family Court Judge (CON),Ballots,,6
4407,Fulton 1 2,Oswego County Family Court Judge (CON),Allison Nelson,,5
4408,Fulton 1 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4409,Fulton 1 2,Oswego County Family Court Judge (CON),Write-ins,,0
4410,Fulton 1 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4411,Fulton 2 1,Oswego County Family Court Judge (CON),,,
4412,Fulton 2 1,Oswego County Family Court Judge (CON),Ballots,,2
4413,Fulton 2 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4414,Fulton 2 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,2
4415,Fulton 2 1,Oswego County Family Court Judge (CON),Write-ins,,0
4416,Fulton 2 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4417,Fulton 2 2,Oswego County Family Court Judge (CON),,,
4418,Fulton 2 2,Oswego County Family Court Judge (CON),Ballots,,8
4419,Fulton 2 2,Oswego County Family Court Judge (CON),Allison Nelson,,4
4420,Fulton 2 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
4421,Fulton 2 2,Oswego County Family Court Judge (CON),Write-ins,,0
4422,Fulton 2 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4423,Fulton 3 1,Oswego County Family Court Judge (CON),,,
4424,Fulton 3 1,Oswego County Family Court Judge (CON),Ballots,,7
4425,Fulton 3 1,Oswego County Family Court Judge (CON),Allison Nelson,,3
4426,Fulton 3 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,4
4427,Fulton 3 1,Oswego County Family Court Judge (CON),Write-ins,,0
4428,Fulton 3 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4429,Fulton 3 2,Oswego County Family Court Judge (CON),,,
4430,Fulton 3 2,Oswego County Family Court Judge (CON),Ballots,,1
4431,Fulton 3 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
4432,Fulton 3 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4433,Fulton 3 2,Oswego County Family Court Judge (CON),Write-ins,,0
4434,Fulton 3 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4435,Fulton 4 1,Oswego County Family Court Judge (CON),,,
4436,Fulton 4 1,Oswego County Family Court Judge (CON),Ballots,,0
4437,Fulton 4 1,Oswego County Family Court Judge (CON),Allison Nelson,,0
4438,Fulton 4 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4439,Fulton 4 1,Oswego County Family Court Judge (CON),Write-ins,,0
4440,Fulton 4 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4441,Fulton 4 2,Oswego County Family Court Judge (CON),,,
4442,Fulton 4 2,Oswego County Family Court Judge (CON),Ballots,,1
4443,Fulton 4 2,Oswego County Family Court Judge (CON),Allison Nelson,,1
4444,Fulton 4 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4445,Fulton 4 2,Oswego County Family Court Judge (CON),Write-ins,,0
4446,Fulton 4 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4447,Fulton 4 3,Oswego County Family Court Judge (CON),,,
4448,Fulton 4 3,Oswego County Family Court Judge (CON),Ballots,,2
4449,Fulton 4 3,Oswego County Family Court Judge (CON),Allison Nelson,,1
4450,Fulton 4 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4451,Fulton 4 3,Oswego County Family Court Judge (CON),Write-ins,,0
4452,Fulton 4 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4453,Fulton 5 1,Oswego County Family Court Judge (CON),,,
4454,Fulton 5 1,Oswego County Family Court Judge (CON),Ballots,,5
4455,Fulton 5 1,Oswego County Family Court Judge (CON),Allison Nelson,,3
4456,Fulton 5 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4457,Fulton 5 1,Oswego County Family Court Judge (CON),Write-ins,,1
4458,Fulton 5 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4459,Fulton 5 2,Oswego County Family Court Judge (CON),,,
4460,Fulton 5 2,Oswego County Family Court Judge (CON),Ballots,,1
4461,Fulton 5 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4462,Fulton 5 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,1
4463,Fulton 5 2,Oswego County Family Court Judge (CON),Write-ins,,0
4464,Fulton 5 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4465,Fulton 5 3,Oswego County Family Court Judge (CON),,,
4466,Fulton 5 3,Oswego County Family Court Judge (CON),Ballots,,0
4467,Fulton 5 3,Oswego County Family Court Judge (CON),Allison Nelson,,0
4468,Fulton 5 3,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4469,Fulton 5 3,Oswego County Family Court Judge (CON),Write-ins,,0
4470,Fulton 5 3,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4471,Fulton 6 1,Oswego County Family Court Judge (CON),,,
4472,Fulton 6 1,Oswego County Family Court Judge (CON),Ballots,,3
4473,Fulton 6 1,Oswego County Family Court Judge (CON),Allison Nelson,,3
4474,Fulton 6 1,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4475,Fulton 6 1,Oswego County Family Court Judge (CON),Write-ins,,0
4476,Fulton 6 1,Oswego County Family Court Judge (CON),Voids/Blanks,,0
4477,Fulton 6 2,Oswego County Family Court Judge (CON),,,
4478,Fulton 6 2,Oswego County Family Court Judge (CON),Ballots,,0
4479,Fulton 6 2,Oswego County Family Court Judge (CON),Allison Nelson,,0
4480,Fulton 6 2,Oswego County Family Court Judge (CON),Thomas Benedetto,,0
4481,Fulton 6 2,Oswego County Family Court Judge (CON),Write-ins,,0
4482,Fulton 6 2,Oswego County Family Court Judge (CON),Voids/Blanks,,0
